summit_id,name,elevation,isolation,prominence,latitude,longtitude,type,county,state,type_str
127239,Sugarloaf Mountain,1686,3.91,456,40.98920,-76.09990,1,Luzerne County,PA,mountain
127316,Pisgah Mountain,1630,1.12,440,40.81900,-75.87760,1,Carbon County,PA,mountain
128185,Neversink Mountain,910,1.78,380,40.32210,-75.89350,1,Berks County,PA,mountain
128403,Brown Mountain,1650,5.06,500,37.68250,-90.59940,1,St. Francois County,MO,mountain
128409,Iron Mountain,1450,1.53,320,37.71170,-90.62580,1,St. Francois County,MO,mountain
128411,Knob Lick Mountain,1333,7.89,403,37.66400,-90.38570,1,St. Francois County,MO,mountain
128415,Oak Mountain,1630,2.86,480,37.64750,-90.62710,1,St. Francois County,MO,mountain
128418,Evans Mountain,1232,4.03,422,37.60170,-90.46830,1,Madison County,MO,mountain
128439,Blood Mountain,4460,11.74,1520,34.73980,-83.93700,1,Union County,GA,mountain
128440,Tray Mountain,4430,8.80,1481,34.80140,-83.68380,1,Towns County,GA,mountain
128449,Eagle Mountain,4260,4.25,640,34.96430,-83.69090,1,Towns County,GA,mountain
128471,Bald Mountain,4005,3.54,905,34.86450,-84.62830,1,Murray County,GA,mountain
128494,Stover Mountain,3820,2.11,640,34.71480,-84.35560,1,Gilmer County,GA,mountain
128500,Springer Mountain,3782,11.04,1162,34.62680,-84.19370,1,Fannin County,GA,mountain
128525,Grassy Mountain,3692,2.37,512,34.86190,-84.67000,1,Murray County,GA,mountain
128597,Rocky Mountain,3460,3.01,1160,34.79510,-84.32190,1,Gilmer County,GA,mountain
129321,Chenocetah Mountain,1830,11.09,420,34.50220,-83.50660,1,Habersham County,GA,mountain
129347,Sweat Mountain,1690,9.45,600,34.06700,-84.45620,1,Cobb County,GA,mountain
129381,Pine Mountain,1562,8.08,592,34.17680,-84.74500,1,Bartow County,GA,mountain
129440,Vineyard Mountain,1354,1.55,504,34.15900,-84.72860,1,Bartow County,GA,mountain
129571,Hodge Mountain,1093,1.09,263,34.15230,-84.88740,1,Bartow County,GA,mountain
133787,Cottaquilla Mountain,1150,1.72,320,33.78060,-85.68560,1,Calhoun County,AL,mountain
133933,Morgan Mountain,1010,2.30,300,33.72360,-85.67950,1,Calhoun County,AL,mountain
134791,Sugar Loaf Mountain,1282,16.81,812,39.26240,-77.39330,1,Frederick County,MD,mountain
135034,Baldpate Mountain,490,12.42,220,40.33010,-74.87260,1,Mercer County,NJ,mountain
135375,"Curwood, Mount",1978,5.41,166,46.70310,-88.23960,0,Baraga County,MI,mount
